Shoulder,Elbow
194.0,490.0
194.0,491.0
194.0,490.0
195.0,490.0
194.0,490.0
195.0,490.0
195.0,490.0
194.0,491.0
194.0,490.0
194.0,489.0
195.0,491.0
196.0,490.0
194.0,490.0
193.0,491.0
193.0,490.0
194.0,491.0
195.0,489.0
195.0,492.0
195.0,491.0
195.0,491.0
197.0,490.0
195.0,491.0
196.0,491.0
195.0,490.0
196.0,490.0
195.0,490.0
196.0,489.0
196.0,490.0
196.0,489.0
197.0,488.0
196.0,490.0
195.0,488.0
195.0,490.0
196.0,491.0
197.0,491.0
195.0,490.0
195.0,491.0
194.0,489.0
194.0,491.0
195.0,490.0
194.0,490.0
194.0,491.0
195.0,491.0
193.0,489.0
194.0,490.0
192.0,492.0
195.0,490.0
194.0,490.0
195.0,491.0
196.0,491.0
193.0,489.0
197.0,490.0
195.0,490.0
195.0,491.0
193.0,491.0
198.0,490.0
194.0,490.0
195.0,490.0
194.0,490.0
196.0,490.0
196.0,490.0
195.0,487.0
197.0,491.0
194.0,490.0
195.0,490.0
195.0,490.0
195.0,490.0
196.0,490.0
195.0,490.0
193.0,491.0
196.0,490.0
193.0,490.0
196.0,490.0
196.0,490.0
192.0,491.0
195.0,491.0
195.0,490.0
195.0,489.0
195.0,490.0
195.0,491.0
194.0,490.0
195.0,491.0
195.0,491.0
196.0,489.0
193.0,491.0
195.0,490.0
194.0,490.0
195.0,491.0
194.0,489.0
196.0,490.0
193.0,491.0
194.0,492.0
196.0,491.0
195.0,491.0
195.0,491.0
196.0,491.0
196.0,488.0
194.0,490.0
196.0,490.0
196.0,491.0
195.0,490.0
196.0,488.0
196.0,490.0
197.0,490.0
195.0,490.0
194.0,490.0
195.0,490.0
194.0,490.0
196.0,488.0
196.0,489.0
194.0,490.0
196.0,490.0
195.0,490.0
194.0,490.0
196.0,491.0
195.0,490.0
196.0,491.0
196.0,491.0
195.0,491.0
194.0,490.0
195.0,490.0
193.0,490.0
194.0,491.0
193.0,489.0
196.0,490.0
195.0,490.0
195.0,490.0
197.0,490.0
195.0,490.0
196.0,491.0
195.0,490.0
196.0,491.0
196.0,490.0
196.0,490.0
196.0,491.0
195.0,490.0
195.0,490.0
194.0,492.0
195.0,490.0
196.0,491.0
196.0,490.0
194.0,490.0
195.0,490.0
195.0,490.0
196.0,490.0
194.0,490.0
196.0,491.0
194.0,490.0
195.0,491.0
197.0,490.0
196.0,492.0
192.0,489.0
194.0,490.0
195.0,491.0
196.0,490.0
195.0,490.0
194.0,490.0
195.0,490.0
194.0,490.0
194.0,490.0
193.0,490.0
195.0,492.0
194.0,491.0
195.0,490.0
197.0,490.0
194.0,490.0
195.0,492.0
196.0,491.0
197.0,490.0
195.0,490.0
195.0,489.0
195.0,490.0
195.0,489.0
195.0,489.0
196.0,490.0
195.0,489.0
196.0,490.0
197.0,490.0
195.0,490.0
195.0,490.0
196.0,495.0
195.0,492.0
194.0,490.0
195.0,490.0
195.0,490.0
194.0,489.0
195.0,490.0
195.0,490.0
196.0,489.0
195.0,491.0
195.0,490.0
194.0,491.0
194.0,490.0
195.0,490.0
196.0,490.0
194.0,491.0
195.0,490.0
195.0,491.0
195.0,491.0
196.0,490.0
193.0,491.0
197.0,491.0
194.0,489.0
195.0,490.0
195.0,491.0
196.0,489.0
196.0,489.0
196.0,491.0
193.0,490.0
196.0,491.0
193.0,490.0
194.0,490.0
195.0,490.0
195.0,491.0
196.0,490.0
195.0,491.0
194.0,490.0
195.0,489.0
195.0,490.0
194.0,490.0
196.0,491.0
194.0,489.0
196.0,491.0
195.0,490.0
195.0,490.0
196.0,491.0
195.0,489.0
194.0,489.0
192.0,490.0
195.0,490.0
195.0,490.0
195.0,491.0
194.0,490.0
196.0,490.0
194.0,490.0
195.0,489.0
195.0,491.0
195.0,489.0
195.0,490.0
196.0,490.0
197.0,490.0
195.0,490.0
196.0,491.0
196.0,491.0
196.0,490.0
195.0,489.0
195.0,491.0
195.0,490.0
195.0,490.0
196.0,490.0
195.0,488.0
197.0,490.0
194.0,490.0
195.0,489.0
196.0,490.0
195.0,489.0
194.0,491.0
194.0,490.0
196.0,489.0
195.0,491.0
196.0,490.0
195.0,490.0
195.0,491.0
194.0,489.0
195.0,489.0
194.0,491.0
193.0,492.0
194.0,491.0
195.0,491.0
195.0,490.0
194.0,491.0
193.0,490.0
194.0,490.0
193.0,490.0
196.0,490.0
197.0,490.0
195.0,490.0
196.0,489.0
194.0,490.0
196.0,490.0
197.0,491.0
195.0,490.0
196.0,491.0
195.0,491.0
194.0,488.0
196.0,490.0
193.0,488.0
196.0,490.0
195.0,491.0
195.0,490.0
195.0,490.0
196.0,490.0
195.0,491.0
195.0,491.0
196.0,490.0
195.0,490.0
197.0,491.0
195.0,490.0
196.0,490.0
196.0,491.0
195.0,490.0
195.0,490.0
194.0,490.0
194.0,490.0
194.0,490.0
195.0,490.0
194.0,490.0
196.0,490.0
193.0,490.0
196.0,490.0
196.0,490.0
196.0,491.0
198.0,491.0
194.0,491.0
196.0,490.0
197.0,491.0
194.0,490.0
196.0,490.0
194.0,489.0
195.0,490.0
196.0,490.0
195.0,490.0
195.0,491.0
195.0,490.0
195.0,490.0
195.0,491.0
195.0,490.0
195.0,491.0
195.0,491.0
195.0,490.0
194.0,490.0
195.0,490.0
196.0,489.0
195.0,490.0
195.0,490.0
196.0,490.0
195.0,490.0
194.0,490.0
194.0,490.0
193.0,490.0
194.0,490.0
194.0,487.0
194.0,490.0
195.0,491.0
195.0,490.0
195.0,490.0
195.0,491.0
196.0,491.0
195.0,489.0
195.0,490.0
195.0,491.0
195.0,491.0
196.0,491.0
193.0,491.0
195.0,489.0
195.0,490.0
195.0,490.0
196.0,491.0
197.0,488.0
195.0,491.0
195.0,490.0
197.0,490.0
196.0,490.0
194.0,490.0
196.0,490.0
195.0,490.0
195.0,490.0
195.0,491.0
195.0,490.0
195.0,491.0
196.0,489.0
196.0,488.0
194.0,491.0
195.0,490.0
194.0,492.0
195.0,490.0
194.0,491.0
